,level_0,index,userId,movieId,rating,timestampRating,tag,timestampTag,title,genres,titleOnly,year,genreCat,tagSentiment
26,26,26,18,431,4.0,1462138790,Al Pacino,1462138765,Carlito's Way (1993),Crime|Drama,Carlito's Way,1993,235,0.0
27,27,27,18,431,4.0,1462138790,gangster,1462138749,Carlito's Way (1993),Crime|Drama,Carlito's Way,1993,235,0.0
28,28,28,18,431,4.0,1462138790,mafia,1462138755,Carlito's Way (1993),Crime|Drama,Carlito's Way,1993,235,0.0
29,29,29,18,1221,5.0,1460242083,Al Pacino,1461699306,"Godfather: Part II, The (1974)",Crime|Drama,"Godfather: Part II, The",1974,235,0.0
30,30,30,18,1221,5.0,1460242083,Mafia,1461699303,"Godfather: Part II, The (1974)",Crime|Drama,"Godfather: Part II, The",1974,235,0.0
31,31,31,474,1221,5.0,983033120,Mafia,1137181066,"Godfather: Part II, The (1974)",Crime|Drama,"Godfather: Part II, The",1974,235,0.0
32,32,32,18,5995,4.5,1455735416,holocaust,1455735472,"Pianist, The (2002)",Drama|War,"Pianist, The",2002,300,0.0
33,33,33,18,5995,4.5,1455735416,true story,1455735479,"Pianist, The (2002)",Drama|War,"Pianist, The",2002,300,0.4215
34,34,34,474,5995,4.5,1054300218,Holocaust,1137181562,"Pianist, The (2002)",Drama|War,"Pianist, The",2002,300,0.0
35,35,35,18,44665,4.5,1455049870,twist ending,1456948283,Lucky Number Slevin (2006),Crime|Drama|Mystery,Lucky Number Slevin,2006,242,0.0
36,36,36,18,52604,4.5,1457650649,Anthony Hopkins,1457650696,Fracture (2007),Crime|Drama|Mystery|Thriller,Fracture,2007,244,0.0
37,37,37,18,52604,4.5,1457650649,courtroom drama,1457650711,Fracture (2007),Crime|Drama|Mystery|Thriller,Fracture,2007,244,0.0
38,38,38,18,52604,4.5,1457650649,twist ending,1457650682,Fracture (2007),Crime|Drama|Mystery|Thriller,Fracture,2007,244,0.0
39,39,39,18,88094,3.0,1457352482,britpop,1457444500,Upside Down: The Creation Records Story (2010),Documentary,Upside Down: The Creation Records Story,2010,259,0.0
40,40,40,18,88094,3.0,1457352482,indie record label,1457444592,Upside Down: The Creation Records Story (2010),Documentary,Upside Down: The Creation Records Story,2010,259,0.0
41,41,41,18,88094,3.0,1457352482,music,1457444609,Upside Down: The Creation Records Story (2010),Documentary,Upside Down: The Creation Records Story,2010,259,0.0
42,42,42,18,144210,4.0,1455060282,dumpster diving,1455060381,Just Eat It: A Food Waste Story (2014),Documentary,Just Eat It: A Food Waste Story,2014,259,-0.0772
43,43,43,18,144210,4.0,1455060282,Sustainability,1455060452,Just Eat It: A Food Waste Story (2014),Documentary,Just Eat It: A Food Waste Story,2014,259,0.0
44,44,44,21,119141,0.5,1419793939,bloody,1419793962,The Interview (2014),Action|Comedy,The Interview,2014,45,-0.4404
45,45,45,62,119141,3.0,1525555123,bromance,1525555146,The Interview (2014),Action|Comedy,The Interview,2014,45,0.0
46,46,46,62,119141,3.0,1525555123,comedy,1525555138,The Interview (2014),Action|Comedy,The Interview,2014,45,0.3612
47,47,47,62,119141,3.0,1525555123,funny,1525555129,The Interview (2014),Action|Comedy,The Interview,2014,45,0.4404
48,48,48,62,119141,3.0,1525555123,James Franco,1525555132,The Interview (2014),Action|Comedy,The Interview,2014,45,0.0
49,49,49,62,119141,3.0,1525555123,Seth Rogen,1525555127,The Interview (2014),Action|Comedy,The Interview,2014,45,0.0
50,50,50,49,109487,4.5,1493093231,black hole,1493093306,Interstellar (2014),Sci-Fi|IMAX,Interstellar,2014,328,0.0
51,51,51,49,109487,4.5,1493093231,sci-fi,1493093332,Interstellar (2014),Sci-Fi|IMAX,Interstellar,2014,328,0.0
52,52,52,49,109487,4.5,1493093231,time-travel,1493093356,Interstellar (2014),Sci-Fi|IMAX,Interstellar,2014,328,0.0
53,53,53,567,109487,3.0,1525287553,bad dialogue,1525287562,Interstellar (2014),Sci-Fi|IMAX,Interstellar,2014,328,-0.5423
54,54,54,567,109487,3.0,1525287553,philosophical issues,1525287571,Interstellar (2014),Sci-Fi|IMAX,Interstellar,2014,328,0.0
55,55,55,567,109487,3.0,1525287553,thought-provoking,1525287567,Interstellar (2014),Sci-Fi|IMAX,Interstellar,2014,328,0.0
56,56,56,567,109487,3.0,1525287553,visually appealing,1525287559,Interstellar (2014),Sci-Fi|IMAX,Interstellar,2014,328,0.0
57,57,57,62,2,4.0,1528843890,fantasy,1528843929,Jumanji (1995),Adventure|Children|Fantasy,Jumanji,1995,124,0.0
58,58,58,62,2,4.0,1528843890,magic board game,1528843932,Jumanji (1995),Adventure|Children|Fantasy,Jumanji,1995,124,0.0
59,59,59,62,2,4.0,1528843890,Robin Williams,1528843907,Jumanji (1995),Adventure|Children|Fantasy,Jumanji,1995,124,0.0
60,60,60,474,2,3.0,1046886814,game,1137375552,Jumanji (1995),Adventure|Children|Fantasy,Jumanji,1995,124,0.0
61,61,61,62,110,4.5,1521822303,beautiful scenery,1528152541,Braveheart (1995),Action|Drama|War,Braveheart,1995,79,0.5994
62,62,62,62,110,4.5,1521822303,epic,1528152532,Braveheart (1995),Action|Drama|War,Braveheart,1995,79,0.0
63,63,63,62,110,4.5,1521822303,historical,1528152523,Braveheart (1995),Action|Drama|War,Braveheart,1995,79,0.0
64,64,64,62,110,4.5,1521822303,inspirational,1528152527,Braveheart (1995),Action|Drama|War,Braveheart,1995,79,0.5106
65,65,65,62,110,4.5,1521822303,Medieval,1528152528,Braveheart (1995),Action|Drama|War,Braveheart,1995,79,0.0
66,66,66,62,110,4.5,1521822303,mel gibson,1528152521,Braveheart (1995),Action|Drama|War,Braveheart,1995,79,0.0
67,67,67,62,110,4.5,1521822303,Oscar (Best Cinematography),1528152539,Braveheart (1995),Action|Drama|War,Braveheart,1995,79,0.6369
68,68,68,62,110,4.5,1521822303,revenge,1528152531,Braveheart (1995),Action|Drama|War,Braveheart,1995,79,-0.5267
69,69,69,62,110,4.5,1521822303,sword fight,1528152535,Braveheart (1995),Action|Drama|War,Braveheart,1995,79,-0.3818
70,70,70,474,110,3.0,1137180852,Scotland,1137180974,Braveheart (1995),Action|Drama|War,Braveheart,1995,79,0.0
71,71,71,62,410,4.5,1525636601,black comedy,1525636607,Addams Family Values (1993),Children|Comedy|Fantasy,Addams Family Values,1993,181,0.3612
72,72,72,62,410,4.5,1525636601,Christina Ricci,1525636685,Addams Family Values (1993),Children|Comedy|Fantasy,Addams Family Values,1993,181,0.0
73,73,73,62,410,4.5,1525636601,Christopher Lloyd,1525636622,Addams Family Values (1993),Children|Comedy|Fantasy,Addams Family Values,1993,181,0.0
74,74,74,62,410,4.5,1525636601,dark comedy,1525636610,Addams Family Values (1993),Children|Comedy|Fantasy,Addams Family Values,1993,181,0.3612
75,75,75,62,410,4.5,1525636601,family,1525636708,Addams Family Values (1993),Children|Comedy|Fantasy,Addams Family Values,1993,181,0.0
76,76,76,62,410,4.5,1525636601,gothic,1525636609,Addams Family Values (1993),Children|Comedy|Fantasy,Addams Family Values,1993,181,0.0
77,77,77,62,2023,5.0,1525636725,Al Pacino,1525636728,"Godfather: Part III, The (1990)",Crime|Drama|Mystery|Thriller,"Godfather: Part III, The",1990,244,0.0
78,78,78,62,2023,5.0,1525636725,Andy Garcia,1525636768,"Godfather: Part III, The (1990)",Crime|Drama|Mystery|Thriller,"Godfather: Part III, The",1990,244,0.0
79,79,79,62,2023,5.0,1525636725,Classic,1525636752,"Godfather: Part III, The (1990)",Crime|Drama|Mystery|Thriller,"Godfather: Part III, The",1990,244,0.0
80,80,80,62,2023,5.0,1525636725,Francis Ford Coppola,1525636752,"Godfather: Part III, The (1990)",Crime|Drama|Mystery|Thriller,"Godfather: Part III, The",1990,244,0.0
81,81,81,62,2023,5.0,1525636725,mafia,1525636733,"Godfather: Part III, The (1990)",Crime|Drama|Mystery|Thriller,"Godfather: Part III, The",1990,244,0.0
82,82,82,62,2124,5.0,1525636840,black comedy,1525636847,"Addams Family, The (1991)",Children|Comedy|Fantasy,"Addams Family, The",1991,181,0.3612
83,83,83,62,2124,5.0,1525636840,Christina Ricci,1525636867,"Addams Family, The (1991)",Children|Comedy|Fantasy,"Addams Family, The",1991,181,0.0
84,84,84,62,2124,5.0,1525636840,Christopher Lloyd,1525636859,"Addams Family, The (1991)",Children|Comedy|Fantasy,"Addams Family, The",1991,181,0.0
85,85,85,62,2124,5.0,1525636840,Family,1525636855,"Addams Family, The (1991)",Children|Comedy|Fantasy,"Addams Family, The",1991,181,0.0
86,86,86,62,2124,5.0,1525636840,gothic,1525636849,"Addams Family, The (1991)",Children|Comedy|Fantasy,"Addams Family, The",1991,181,0.0
87,87,87,62,2124,5.0,1525636840,quirky,1525636846,"Addams Family, The (1991)",Children|Comedy|Fantasy,"Addams Family, The",1991,181,0.0
88,88,88,62,2953,3.5,1525636880,family,1525636883,Home Alone 2: Lost in New York (1992),Children|Comedy,Home Alone 2: Lost in New York,1992,178,0.0
89,89,89,62,2953,3.5,1525636880,funny,1525636885,Home Alone 2: Lost in New York (1992),Children|Comedy,Home Alone 2: Lost in New York,1992,178,0.4404
90,90,90,62,2953,3.5,1525636880,Macaulay Culkin,1525636890,Home Alone 2: Lost in New York (1992),Children|Comedy,Home Alone 2: Lost in New York,1992,178,0.0
91,91,91,62,2953,3.5,1525636880,sequel,1525636887,Home Alone 2: Lost in New York (1992),Children|Comedy,Home Alone 2: Lost in New York,1992,178,0.0
92,92,92,62,3114,3.0,1525636897,animation,1525636903,Toy Story 2 (1999),Adventure|Animation|Children|Comedy|Fantasy,Toy Story 2,1999,99,0.0
93,93,93,62,3114,3.0,1525636897,Disney,1525636902,Toy Story 2 (1999),Adventure|Animation|Children|Comedy|Fantasy,Toy Story 2,1999,99,0.0
94,94,94,62,3114,3.0,1525636897,funny,1525636913,Toy Story 2 (1999),Adventure|Animation|Children|Comedy|Fantasy,Toy Story 2,1999,99,0.4404
95,95,95,62,3114,3.0,1525636897,original,1525636917,Toy Story 2 (1999),Adventure|Animation|Children|Comedy|Fantasy,Toy Story 2,1999,99,0.3182
96,96,96,62,3114,3.0,1525636897,Pixar,1525636901,Toy Story 2 (1999),Adventure|Animation|Children|Comedy|Fantasy,Toy Story 2,1999,99,0.0
97,97,97,62,3114,3.0,1525636897,sequel,1525636910,Toy Story 2 (1999),Adventure|Animation|Children|Comedy|Fantasy,Toy Story 2,1999,99,0.0
98,98,98,62,3114,3.0,1525636897,Tom Hanks,1525636925,Toy Story 2 (1999),Adventure|Animation|Children|Comedy|Fantasy,Toy Story 2,1999,99,0.0
99,99,99,474,3114,4.0,1002927941,Pixar,1138032529,Toy Story 2 (1999),Adventure|Animation|Children|Comedy|Fantasy,Toy Story 2,1999,99,0.0
100,100,100,62,3578,4.5,1521489618,ancient Rome,1528152504,Gladiator (2000),Action|Adventure|Drama,Gladiator,2000,18,0.0
101,101,101,62,3578,4.5,1521489618,Epic,1528152469,Gladiator (2000),Action|Adventure|Drama,Gladiator,2000,18,0.0
102,102,102,62,3578,4.5,1521489618,history,1528152467,Gladiator (2000),Action|Adventure|Drama,Gladiator,2000,18,0.0
103,103,103,62,3578,4.5,1521489618,imdb top 250,1528152498,Gladiator (2000),Action|Adventure|Drama,Gladiator,2000,18,0.2023
104,104,104,62,3578,4.5,1521489618,revenge,1528152496,Gladiator (2000),Action|Adventure|Drama,Gladiator,2000,18,-0.5267
105,105,105,62,3578,4.5,1521489618,Rome,1528152463,Gladiator (2000),Action|Adventure|Drama,Gladiator,2000,18,0.0
106,106,106,62,3578,4.5,1521489618,Russell Crowe,1528152465,Gladiator (2000),Action|Adventure|Drama,Gladiator,2000,18,0.0
107,107,107,606,3578,3.5,1171323835,Romans,1173212944,Gladiator (2000),Action|Adventure|Drama,Gladiator,2000,18,0.0
108,108,108,62,4223,4.5,1525125789,Ed Harris,1528024869,Enemy at the Gates (2001),Drama|War,Enemy at the Gates,2001,300,0.0
109,109,109,62,4223,4.5,1525125789,Jude Law,1528024854,Enemy at the Gates (2001),Drama|War,Enemy at the Gates,2001,300,0.0
110,110,110,62,4223,4.5,1525125789,Rachel Weisz,1528024873,Enemy at the Gates (2001),Drama|War,Enemy at the Gates,2001,300,0.0
111,111,111,62,4223,4.5,1525125789,sniper,1528024852,Enemy at the Gates (2001),Drama|War,Enemy at the Gates,2001,300,0.0
112,112,112,62,4223,4.5,1525125789,World War II,1528024877,Enemy at the Gates (2001),Drama|War,Enemy at the Gates,2001,300,-0.5994
113,113,113,62,5388,4.5,1530310806,Al Pacino,1530310809,Insomnia (2002),Action|Crime|Drama|Mystery|Thriller,Insomnia,2002,63,0.0
114,114,114,62,5388,4.5,1530310806,atmospheric,1530310959,Insomnia (2002),Action|Crime|Drama|Mystery|Thriller,Insomnia,2002,63,0.0
115,115,115,62,5388,4.5,1530310806,Hilary Swank,1530310952,Insomnia (2002),Action|Crime|Drama|Mystery|Thriller,Insomnia,2002,63,0.0
116,116,116,62,5388,4.5,1530310806,Robin Williams,1530310811,Insomnia (2002),Action|Crime|Drama|Mystery|Thriller,Insomnia,2002,63,0.0
117,117,117,184,5388,3.5,1537094597,atmospheric,1537094680,Insomnia (2002),Action|Crime|Drama|Mystery|Thriller,Insomnia,2002,63,0.0
118,118,118,184,5388,3.5,1537094597,insomnia,1537094688,Insomnia (2002),Action|Crime|Drama|Mystery|Thriller,Insomnia,2002,63,0.0
119,119,119,184,5388,3.5,1537094597,thought-provoking,1537094685,Insomnia (2002),Action|Crime|Drama|Mystery|Thriller,Insomnia,2002,63,0.0
120,120,120,62,6058,3.5,1525555043,sequel,1525555053,Final Destination 2 (2003),Horror|Thriller,Final Destination 2,2003,314,0.0
121,121,121,62,6058,3.5,1525555043,violent,1525555051,Final Destination 2 (2003),Horror|Thriller,Final Destination 2,2003,314,-0.5994
122,122,122,62,6534,3.5,1525553932,dogs,1525554096,Hulk (2003),Action|Adventure|Sci-Fi,Hulk,2003,35,0.0
123,123,123,62,6534,3.5,1525553932,Eric Bana,1525554086,Hulk (2003),Action|Adventure|Sci-Fi,Hulk,2003,35,0.0
124,124,124,62,6534,3.5,1525553932,mad scientist,1525554098,Hulk (2003),Action|Adventure|Sci-Fi,Hulk,2003,35,-0.4939
125,125,125,62,6534,3.5,1525553932,marvel,1525554100,Hulk (2003),Action|Adventure|Sci-Fi,Hulk,2003,35,0.4215
126,132,132,62,6564,3.5,1525554328,adventure,1525554439,Lara Croft Tomb Raider: The Cradle of Life (2003),Action|Adventure|Comedy|Romance|Thriller,Lara Croft Tomb Raider: The Cradle of Life,2003,15,0.3182
127,133,133,62,6564,3.5,1525554328,Angelina Jolie,1525554432,Lara Croft Tomb Raider: The Cradle of Life (2003),Action|Adventure|Comedy|Romance|Thriller,Lara Croft Tomb Raider: The Cradle of Life,2003,15,0.0
128,134,134,62,6564,3.5,1525554328,heroine in tight suit,1525554441,Lara Croft Tomb Raider: The Cradle of Life (2003),Action|Adventure|Comedy|Romance|Thriller,Lara Croft Tomb Raider: The Cradle of Life,2003,15,0.5719
129,135,135,62,7153,5.0,1521488588,Adventure,1528152558,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,"Lord of the Rings: The Return of the King, The",2003,19,0.3182
130,136,136,62,7153,5.0,1521488588,ensemble cast,1528152578,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,"Lord of the Rings: The Return of the King, The",2003,19,0.0
131,137,137,62,7153,5.0,1521488588,fantasy,1528152556,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,"Lord of the Rings: The Return of the King, The",2003,19,0.0
132,138,138,62,7153,5.0,1521488588,fantasy world,1528152571,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,"Lord of the Rings: The Return of the King, The",2003,19,0.0
133,139,139,62,7153,5.0,1521488588,great soundtrack,1528152575,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,"Lord of the Rings: The Return of the King, The",2003,19,0.6249
134,140,140,62,7153,5.0,1521488588,lord of the rings,1528152581,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,"Lord of the Rings: The Return of the King, The",2003,19,0.0
135,141,141,62,7153,5.0,1521488588,scenic,1528152580,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,"Lord of the Rings: The Return of the King, The",2003,19,0.0
136,142,142,62,7153,5.0,1521488588,stylized,1528152577,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,"Lord of the Rings: The Return of the King, The",2003,19,0.0
137,143,143,62,7153,5.0,1521488588,Tolkien,1528152561,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,"Lord of the Rings: The Return of the King, The",2003,19,0.0
138,144,144,474,7153,5.0,1072654131,Tolkein,1137181217,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,"Lord of the Rings: The Return of the King, The",2003,19,0.0
139,145,145,62,8641,4.0,1521490412,hilarious,1526249138,Anchorman: The Legend of Ron Burgundy (2004),Comedy,Anchorman: The Legend of Ron Burgundy,2004,189,0.4019
140,146,146,62,8641,4.0,1521490412,Steve Carell,1526249156,Anchorman: The Legend of Ron Burgundy (2004),Comedy,Anchorman: The Legend of Ron Burgundy,2004,189,0.0
141,147,147,62,8641,4.0,1521490412,Will Ferrell,1526249135,Anchorman: The Legend of Ron Burgundy (2004),Comedy,Anchorman: The Legend of Ron Burgundy,2004,189,0.0
142,148,148,305,8641,3.0,1520707055,stupid,1520707078,Anchorman: The Legend of Ron Burgundy (2004),Comedy,Anchorman: The Legend of Ron Burgundy,2004,189,-0.5267
143,149,149,327,8641,5.0,1234787997,awesome,1234789177,Anchorman: The Legend of Ron Burgundy (2004),Comedy,Anchorman: The Legend of Ron Burgundy,2004,189,0.6249
144,150,150,424,8641,4.5,1457846526,comedy,1457846537,Anchorman: The Legend of Ron Burgundy (2004),Comedy,Anchorman: The Legend of Ron Burgundy,2004,189,0.3612
145,151,151,424,8641,4.5,1457846526,Will Ferrell,1457846533,Anchorman: The Legend of Ron Burgundy (2004),Comedy,Anchorman: The Legend of Ron Burgundy,2004,189,0.0
146,152,152,62,27660,4.5,1525554402,animation,1525554490,"Animatrix, The (2003)",Action|Animation|Drama|Sci-Fi,"Animatrix, The",2003,44,0.0
147,153,153,62,27660,4.5,1525554402,anime,1525554488,"Animatrix, The (2003)",Action|Animation|Drama|Sci-Fi,"Animatrix, The",2003,44,0.0
148,154,154,62,27660,4.5,1525554402,cyberpunk,1525554486,"Animatrix, The (2003)",Action|Animation|Drama|Sci-Fi,"Animatrix, The",2003,44,0.0
149,155,155,62,27660,4.5,1525554402,dark,1525554500,"Animatrix, The (2003)",Action|Animation|Drama|Sci-Fi,"Animatrix, The",2003,44,0.0
150,156,156,62,27660,4.5,1525554402,Matrix,1525554493,"Animatrix, The (2003)",Action|Animation|Drama|Sci-Fi,"Animatrix, The",2003,44,0.0
151,157,157,62,27660,4.5,1525554402,sci-fi,1525554491,"Animatrix, The (2003)",Action|Animation|Drama|Sci-Fi,"Animatrix, The",2003,44,0.0
152,158,158,62,27706,4.0,1526248533,dark comedy,1526248598,Lemony Snicket's A Series of Unfortunate Events (2004),Adventure|Children|Comedy|Fantasy,Lemony Snicket's A Series of Unfortunate Events,2004,117,0.3612
153,159,159,62,27706,4.0,1526248533,Jim Carrey,1526248575,Lemony Snicket's A Series of Unfortunate Events (2004),Adventure|Children|Comedy|Fantasy,Lemony Snicket's A Series of Unfortunate Events,2004,117,0.0
154,160,160,62,27706,4.0,1526248533,meryl streep,1526248580,Lemony Snicket's A Series of Unfortunate Events (2004),Adventure|Children|Comedy|Fantasy,Lemony Snicket's A Series of Unfortunate Events,2004,117,0.0
155,161,161,62,27706,4.0,1526248533,quirky,1526248553,Lemony Snicket's A Series of Unfortunate Events (2004),Adventure|Children|Comedy|Fantasy,Lemony Snicket's A Series of Unfortunate Events,2004,117,0.0
156,162,162,62,27706,4.0,1526248533,stylized,1526248601,Lemony Snicket's A Series of Unfortunate Events (2004),Adventure|Children|Comedy|Fantasy,Lemony Snicket's A Series of Unfortunate Events,2004,117,0.0
157,163,163,62,27808,4.0,1525554894,Adam Sandler,1525554900,Spanglish (2004),Comedy|Drama|Romance,Spanglish,2004,213,0.0
158,164,164,62,27808,4.0,1525554894,family,1525554919,Spanglish (2004),Comedy|Drama|Romance,Spanglish,2004,213,0.0
159,165,165,62,27808,4.0,1525554894,sweet,1525554922,Spanglish (2004),Comedy|Drama|Romance,Spanglish,2004,213,0.4588
160,166,166,62,27831,4.5,1532723284,British gangster,1532723304,Layer Cake (2004),Crime|Drama|Thriller,Layer Cake,2004,247,0.0
161,167,167,62,27831,4.5,1532723284,confusing,1532723364,Layer Cake (2004),Crime|Drama|Thriller,Layer Cake,2004,247,-0.2263
162,168,168,62,27831,4.5,1532723284,daniel craig,1532723305,Layer Cake (2004),Crime|Drama|Thriller,Layer Cake,2004,247,0.0
163,169,169,62,27831,4.5,1532723284,Exquisite plotting.,1532723355,Layer Cake (2004),Crime|Drama|Thriller,Layer Cake,2004,247,0.0
164,170,170,62,27831,4.5,1532723284,organized crime,1532723369,Layer Cake (2004),Crime|Drama|Thriller,Layer Cake,2004,247,-0.5423
165,171,171,62,27831,4.5,1532723284,stylish,1532723356,Layer Cake (2004),Crime|Drama|Thriller,Layer Cake,2004,247,0.0
166,172,172,62,27831,4.5,1532723284,Tom Hardy,1532723359,Layer Cake (2004),Crime|Drama|Thriller,Layer Cake,2004,247,0.4019
167,179,179,62,33162,4.0,1525554409,David Thewlis,1525554605,Kingdom of Heaven (2005),Action|Drama|Romance|War,Kingdom of Heaven,2005,75,0.0
168,180,180,62,33162,4.0,1525554409,Eva Green,1525554550,Kingdom of Heaven (2005),Action|Drama|Romance|War,Kingdom of Heaven,2005,75,0.0
169,181,181,62,33162,4.0,1525554409,Liam Neeson,1525554577,Kingdom of Heaven (2005),Action|Drama|Romance|War,Kingdom of Heaven,2005,75,0.0
170,182,182,62,33162,4.0,1525554409,Orlando Bloom,1525554511,Kingdom of Heaven (2005),Action|Drama|Romance|War,Kingdom of Heaven,2005,75,0.0
171,183,183,62,34150,3.0,1525553942,Chris Evans,1525554141,Fantastic Four (2005),Action|Adventure|Sci-Fi,Fantastic Four,2005,35,0.0
172,184,184,62,34150,3.0,1525553942,comic book,1525554003,Fantastic Four (2005),Action|Adventure|Sci-Fi,Fantastic Four,2005,35,0.0
173,185,185,62,34150,3.0,1525553942,heroine in tight suit,1525554138,Fantastic Four (2005),Action|Adventure|Sci-Fi,Fantastic Four,2005,35,0.5719
174,186,186,62,34150,3.0,1525553942,Jessica Alba,1525554127,Fantastic Four (2005),Action|Adventure|Sci-Fi,Fantastic Four,2005,35,0.0
175,187,187,62,34150,3.0,1525553942,sexy female scientist,1525554144,Fantastic Four (2005),Action|Adventure|Sci-Fi,Fantastic Four,2005,35,0.5267
176,188,188,62,34150,3.0,1525553942,superhero,1525553977,Fantastic Four (2005),Action|Adventure|Sci-Fi,Fantastic Four,2005,35,0.0
177,189,189,62,37729,4.0,1530310521,gothic,1530310527,Corpse Bride (2005),Animation|Comedy|Fantasy|Musical|Romance,Corpse Bride,2005,171,0.0
178,190,190,62,37729,4.0,1530310521,helena bonham carter,1530310534,Corpse Bride (2005),Animation|Comedy|Fantasy|Musical|Romance,Corpse Bride,2005,171,0.0
179,191,191,62,37729,4.0,1530310521,Johnny Depp,1530310529,Corpse Bride (2005),Animation|Comedy|Fantasy|Musical|Romance,Corpse Bride,2005,171,0.0
180,192,192,62,37729,4.0,1530310521,Tim Burton,1530310526,Corpse Bride (2005),Animation|Comedy|Fantasy|Musical|Romance,Corpse Bride,2005,171,0.0
181,193,193,62,37729,4.0,1530310521,visually appealing,1530310541,Corpse Bride (2005),Animation|Comedy|Fantasy|Musical|Romance,Corpse Bride,2005,171,0.0
